                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6946,                  2.318,                 1.5359,                0.69598,                0.51228,                0.61322,                0.32274,                 1.6519,                 1.8032,                 1.5269,               0.070169,              0.0033146,              0.0033146
                      1,                 1.3576,                 1.3059,                 1.2661,                0.61535,                0.50877,                0.59292,                0.33886,                 1.6796,                 1.6066,                 1.5714,               0.040103,              0.0065821,              0.0065821
                      2,                 1.3937,                 1.2507,                 1.2741,                0.63193,                 0.4807,                0.54385,                0.25941,                 1.8767,                 1.8282,                 1.7567,              0.0099709,              0.0097836,              0.0097836
                      3,                 1.3728,                 1.1827,                 1.2912,                0.64514,                0.58246,                0.60427,                 0.2888,                 1.7853,                 1.9766,                 1.6604,               0.009703,               0.009703,               0.009703
                      4,                 1.3208,                 1.0989,                 1.2699,                0.62225,                0.47394,                0.58049,                0.29345,                 1.7157,                 1.5645,                 1.6574,               0.009703,               0.009703,               0.009703
                      5,                 1.2533,                 1.0197,                 1.2361,                 0.7437,                 0.5193,                0.61678,                 0.2968,                 1.7906,                 1.5753,                 1.5466,               0.009604,               0.009604,               0.009604
                      6,                 1.2174,                0.96838,                 1.2128,                0.61029,                0.54737,                0.51413,                0.25246,                 1.8496,                 1.5465,                  1.724,               0.009505,               0.009505,               0.009505
                      7,                 1.1429,                0.88971,                 1.1826,                0.77547,                0.63015,                0.76108,                0.35926,                 1.8191,                 1.2543,                 1.7183,               0.009406,               0.009406,               0.009406
                      8,                 1.1158,                0.85474,                 1.1762,                0.60719,                0.69825,                0.60641,                0.24367,                 1.9346,                 1.5968,                 1.7099,               0.009307,               0.009307,               0.009307
                      9,                 1.0943,                0.83171,                 1.1532,                0.60545,                0.66765,                0.69477,                0.38954,                 1.5879,                 1.2263,                 1.6141,               0.009208,               0.009208,               0.009208
                     10,                 1.0767,                0.80282,                 1.1408,                0.61084,                0.66642,                0.65429,                0.33948,                 1.6259,                 1.4488,                 1.5658,               0.009109,               0.009109,               0.009109
                     11,                 1.0512,                  0.779,                 1.1345,                0.58392,                0.64211,                0.62797,                0.34632,                 1.7442,                 1.3916,                 1.5477,                0.00901,                0.00901,                0.00901
                     12,                 1.0396,                0.77058,                 1.1302,                0.62136,                0.66217,                0.62522,                 0.3202,                 1.8925,                 1.3237,                 1.8054,               0.008911,               0.008911,               0.008911
                     13,                0.99963,                0.73381,                 1.1149,                0.72005,                0.69491,                0.77436,                0.41462,                 1.6819,                 1.1489,                 1.5102,               0.008812,               0.008812,               0.008812
                     14,                 1.0076,                0.72466,                 1.1074,                0.56764,                0.69825,                0.58523,                0.31507,                 1.6546,                 1.4209,                 1.6055,               0.008713,               0.008713,               0.008713
                     15,                0.98309,                0.70324,                 1.1002,                0.74241,                0.56491,                0.71663,                0.38435,                  1.742,                 1.3776,                 1.6715,               0.008614,               0.008614,               0.008614
                     16,                0.96004,                0.67961,                 1.0894,                0.62501,                0.70877,                0.74417,                0.39896,                 1.7304,                 1.1897,                  1.634,               0.008515,               0.008515,               0.008515
                     17,                0.94586,                0.66959,                 1.0809,                0.60914,                0.70175,                0.64427,                 0.3749,                 1.5594,                 1.2038,                 1.5727,               0.008416,               0.008416,               0.008416
                     18,                0.94796,                0.66381,                 1.0886,                 0.6979,                0.72142,                0.74172,                0.45506,                 1.4642,                  1.177,                 1.4006,               0.008317,               0.008317,               0.008317
                     19,                0.92296,                0.63814,                 1.0683,                0.66203,                0.73333,                0.70449,                 0.3853,                 1.5764,                 1.2843,                 1.5321,               0.008218,               0.008218,               0.008218
                     20,                0.91346,                0.64361,                 1.0616,                0.67516,                0.66316,                0.70692,                 0.4147,                 1.4982,                 1.2812,                  1.558,               0.008119,               0.008119,               0.008119
                     21,                 0.9125,                0.63646,                 1.0655,                0.68381,                0.70877,                0.71916,                0.42467,                 1.5396,                 1.2773,                 1.5007,                0.00802,                0.00802,                0.00802
                     22,                0.90188,                0.62531,                 1.0615,                0.64884,                0.68772,                0.68319,                 0.3641,                 1.6856,                 1.4115,                  1.655,               0.007921,               0.007921,               0.007921
                     23,                0.89761,                0.61683,                 1.0576,                0.78003,                0.57544,                0.67838,                 0.3723,                  1.899,                 1.3516,                 1.7897,               0.007822,               0.007822,               0.007822
                     24,                0.88321,                0.59959,                 1.0566,                0.61503,                0.78947,                0.75942,                0.44312,                 1.5988,                 1.1727,                 1.5129,               0.007723,               0.007723,               0.007723
                     25,                0.87058,                0.59593,                  1.047,                0.65015,                0.74335,                 0.6728,                0.38695,                 1.6504,                 1.1821,                 1.6584,               0.007624,               0.007624,               0.007624
                     26,                  0.866,                0.59319,                 1.0448,                0.67557,                0.75088,                0.71639,                0.42356,                 1.6665,                 1.1802,                 1.5717,               0.007525,               0.007525,               0.007525
                     27,                0.85213,                0.58067,                 1.0353,                0.66199,                0.72281,                0.71391,                0.43961,                 1.4153,                 1.0668,                 1.4325,               0.007426,               0.007426,               0.007426
                     28,                0.86546,                0.58705,                 1.0448,                0.67892,                0.75789,                0.71635,                0.41491,                  1.667,                 1.2316,                 1.5487,               0.007327,               0.007327,               0.007327
                     29,                0.85286,                0.57472,                 1.0329,                0.66112,                0.69822,                0.59264,                0.33985,                 1.7201,                 1.1818,                 1.7219,               0.007228,               0.007228,               0.007228
                     30,                0.83438,                 0.5677,                 1.0265,                0.62358,                0.75566,                0.69509,                0.41192,                 1.6775,                  1.259,                 1.5811,               0.007129,               0.007129,               0.007129
                     31,                0.83181,                0.56402,                 1.0276,                0.71635,                0.63509,                0.76056,                0.45878,                  1.553,                 1.3333,                 1.5319,                0.00703,                0.00703,                0.00703
                     32,                0.82912,                 0.5612,                 1.0283,                0.67683,                0.77193,                0.70799,                0.42577,                 1.5443,                 1.1955,                 1.5646,               0.006931,               0.006931,               0.006931
                     33,                0.81765,                0.55036,                 1.0161,                0.65265,                0.74035,                0.74526,                 0.4606,                 1.5033,                  1.277,                 1.5243,               0.006832,               0.006832,               0.006832
                     34,                0.80851,                0.53815,                 1.0135,                0.63428,                 0.7911,                0.70314,                0.41821,                 1.5048,                 1.3291,                 1.5004,               0.006733,               0.006733,               0.006733
                     35,                0.80253,                0.53817,                 1.0156,                0.63674,                0.69474,                 0.6903,                0.36558,                 1.9074,                 1.5389,                 1.7881,               0.006634,               0.006634,               0.006634
                     36,                0.80216,                0.52716,                 1.0091,                0.61804,                0.76644,                0.71479,                0.40513,                  1.569,                 1.1619,                 1.6063,               0.006535,               0.006535,               0.006535
                     37,                0.79214,                0.52687,                 1.0041,                0.70403,                0.75116,                0.74255,                0.42277,                 1.5995,                 1.1835,                 1.5983,               0.006436,               0.006436,               0.006436
                     38,                0.78898,                0.52662,                  1.004,                0.62084,                0.78712,                0.74895,                0.46444,                 1.5744,                 1.1468,                 1.5917,               0.006337,               0.006337,               0.006337
                     39,                 0.7923,                 0.5215,                 1.0042,                0.67373,                0.77544,                 0.7398,                0.46204,                 1.5292,                 1.2191,                   1.56,               0.006238,               0.006238,               0.006238
                     40,                0.77395,                0.51017,                0.99951,                0.66202,                0.74386,                0.71441,                0.42647,                 1.7641,                 1.1636,                 1.7124,               0.006139,               0.006139,               0.006139
                     41,                 0.7683,                0.50121,                 1.0004,                 0.6718,                0.74737,                0.64234,                0.37276,                 1.7532,                 1.3337,                 1.7158,                0.00604,                0.00604,                0.00604
                     42,                0.75587,                0.49813,                0.99371,                0.64501,                 0.7614,                0.69095,                0.42087,                 1.6938,                 1.1434,                 1.6594,               0.005941,               0.005941,               0.005941
                     43,                0.75038,                0.49401,                0.98079,                0.66971,                0.71857,                0.67687,                0.42596,                 1.5608,                 1.2897,                 1.5583,               0.005842,               0.005842,               0.005842
                     44,                0.75812,                0.49814,                0.99531,                0.72272,                0.72632,                0.68377,                0.38787,                 1.6314,                 1.1601,                 1.6144,               0.005743,               0.005743,               0.005743
                     45,                  0.763,                0.50186,                0.99279,                 0.6532,                0.77895,                0.71827,                0.44299,                 1.5706,                 1.2325,                 1.5396,               0.005644,               0.005644,               0.005644
                     46,                0.74146,                0.48817,                0.98788,                0.66131,                0.79472,                0.67254,                0.41885,                 1.6341,                 1.2532,                 1.5735,               0.005545,               0.005545,               0.005545
                     47,                0.72576,                0.47933,                0.97835,                0.66354,                0.77193,                0.72185,                0.46622,                 1.6011,                 1.2167,                 1.6504,               0.005446,               0.005446,               0.005446
                     48,                0.73764,                0.48596,                 0.9808,                0.71355,                0.74737,                0.68024,                0.42313,                 1.6608,                 1.0975,                 1.6337,               0.005347,               0.005347,               0.005347
                     49,                0.73785,                0.47834,                0.97929,                 0.6206,                 0.6386,                0.59625,                0.33686,                 2.0457,                 1.2873,                 2.0533,               0.005248,               0.005248,               0.005248
                     50,                0.71841,                0.46663,                0.97382,                0.66618,                0.76323,                 0.6715,                0.42807,                 1.6719,                 1.0564,                 1.7215,               0.005149,               0.005149,               0.005149
                     51,                0.71712,                0.46768,                0.97095,                0.70486,                0.74386,                0.77186,                0.50232,                 1.5136,                 1.0884,                 1.5543,                0.00505,                0.00505,                0.00505
                     52,                0.70659,                0.45985,                0.96788,                0.66208,                0.77895,                0.75319,                0.48268,                 1.6459,                 1.2045,                 1.5927,               0.004951,               0.004951,               0.004951
                     53,                0.71699,                0.46521,                0.97752,                0.62922,                0.77409,                 0.6846,                0.45086,                 1.6233,                 1.2445,                 1.6871,               0.004852,               0.004852,               0.004852
                     54,                0.69979,                0.45604,                0.96653,                0.70266,                0.74627,                0.73599,                 0.4657,                 1.5397,                 1.3595,                 1.5764,               0.004753,               0.004753,               0.004753
                     55,                0.70638,                0.45539,                 0.9635,                0.67777,                0.78232,                0.69512,                0.44069,                 1.7223,                 1.1481,                 1.7004,               0.004654,               0.004654,               0.004654
                     56,                0.70395,                0.45152,                0.96273,                0.65275,                0.78596,                0.71651,                0.46954,                 1.6455,                 1.1023,                 1.6336,               0.004555,               0.004555,               0.004555
                     57,                0.69747,                0.44853,                0.96788,                0.68482,                0.76842,                0.71389,                0.42708,                 1.6786,                 1.2249,                 1.6038,               0.004456,               0.004456,               0.004456
                     58,                0.69641,                 0.4471,                0.96748,                0.70539,                0.76842,                0.75528,                0.45848,                 1.6499,                  1.163,                 1.6072,               0.004357,               0.004357,               0.004357
                     59,                0.68722,                0.44594,                0.96147,                0.66772,                0.76857,                0.76848,                0.48715,                 1.5387,                 1.1012,                 1.5397,               0.004258,               0.004258,               0.004258
                     60,                0.68285,                0.43758,                0.96157,                0.71189,                 0.7456,                0.76327,                0.47821,                 1.5327,                 1.1252,                 1.5143,               0.004159,               0.004159,               0.004159
                     61,                0.67689,                0.43868,                0.95835,                0.66366,                0.73388,                0.72858,                0.46185,                 1.5812,                 1.1808,                 1.6447,                0.00406,                0.00406,                0.00406
                     62,                0.67864,                0.43628,                0.95501,                0.71429,                0.72632,                0.76932,                0.52875,                 1.3653,                 1.1873,                 1.3961,               0.003961,               0.003961,               0.003961
                     63,                0.66622,                0.42605,                0.95337,                0.61944,                0.76842,                0.71885,                0.48392,                 1.5973,                 1.1453,                 1.5728,               0.003862,               0.003862,               0.003862
                     64,                 0.6668,                0.42627,                0.95244,                0.72089,                0.78246,                0.72753,                0.49472,                 1.5058,                 1.0498,                  1.575,               0.003763,               0.003763,               0.003763
                     65,                0.65635,                0.41923,                0.94569,                 0.7611,                0.71579,                0.81285,                0.48718,                 1.6053,                 1.1145,                 1.5043,               0.003664,               0.003664,               0.003664
                     66,                0.66243,                0.42441,                0.95125,                0.72277,                0.75011,                0.76803,                0.51398,                 1.4023,                 1.1066,                 1.4236,               0.003565,               0.003565,               0.003565
                     67,                0.65908,                0.41648,                0.94767,                0.64576,                0.77394,                0.75623,                0.48653,                 1.4627,                 1.1483,                 1.4757,               0.003466,               0.003466,               0.003466
                     68,                0.65063,                0.40943,                0.94344,                0.66917,                0.76842,                0.72408,                0.45647,                 1.5855,                 1.3005,                 1.5806,               0.003367,               0.003367,               0.003367
